,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.05),%<Act (0.05),Sim Avg (0.10),%<Act (0.10),Sim Avg (0.15),%<Act (0.15),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.35),%<Act (0.35),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.45),%<Act (0.45),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.55),%<Act (0.55),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.65),%<Act (0.65),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.75),%<Act (0.75),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.85),%<Act (0.85),Sim Avg (0.90),%<Act (0.90),Sim Avg (0.95),%<Act (0.95),Sim Avg (1.00),%<Act (1.00)
Worst,-6.145405227855402,-3.4074993604576553,1.3,-3.4970203381788707,1.4000000000000001,-3.6725574858750543,2.0,-3.9172568003266597,3.4000000000000004,-4.21663652518006,5.8999999999999995,-4.5551637552075555,8.7,-4.931379949490003,15.6,-5.332988422330283,22.1,-5.757448478141865,34.1,-6.2020166760515805,48.0,-6.660502986487774,62.0,-7.129271301387332,74.4,-7.607152168555704,83.7,-8.094729501415742,89.60000000000001,-8.589922952005459,93.89999999999999,-9.09076447934948,96.5,-9.595716378451746,98.0,-10.104851002878771,98.9,-10.61787859313901,99.6,-11.13636711389404,99.8,-11.65843392025906,99.9
2nd Worst,-5.619017659834696,-3.0141922244244843,1.4000000000000001,-3.0708472313996955,1.2,-3.1939161338891138,1.5,-3.370446822931765,2.0,-3.607717798829979,2.8000000000000003,-3.8918364385103184,4.3999999999999995,-4.202969093291702,8.5,-4.547691584650976,14.099999999999998,-4.914797010038876,25.0,-5.296882753340709,36.6,-5.694110304297033,49.5,-6.105674193734595,65.3,-6.5251719803885555,77.4,-6.949431684380092,85.9,-7.3798933972059855,91.8,-7.816017974587708,95.1,-8.256554689424119,97.89999999999999,-8.700119649264737,98.8,-9.146096355086575,99.4,-9.592135878593758,99.8,-10.04014724440089,99.8
3rd Worst,-5.218571999189725,-2.7930968663511755,1.0,-2.8363204793144416,1.2,-2.9383885475962135,1.3,-3.1007193549027674,2.1,-3.3124346453385716,2.9000000000000004,-3.566099292019472,4.9,-3.8556706633350912,8.1,-4.165971260230157,13.5,-4.496541091825681,23.1,-4.843860085988564,32.9,-5.2054903321254935,47.099999999999994,-5.574616003425504,62.1,-5.950992313392997,75.2,-6.334549643483317,84.39999999999999,-6.723225658851414,90.7,-7.1166943015356035,95.39999999999999,-7.514921689365681,97.5,-7.918012101103075,98.4,-8.325340689298732,99.3,-8.735640214738261,99.7,-9.150586308097278,99.9
4th Worst,-4.6226198705037875,-2.6332539053394357,2.7,-2.6657836271682864,2.6,-2.7603827532745058,2.7,-2.9148648962877743,4.1000000000000005,-3.1131031988538695,5.7,-3.353520867986943,8.1,-3.625786647578496,12.6,-3.9162816049261857,20.5,-4.221563393593182,31.8,-4.543056882841516,45.2,-4.875997514436984,57.199999999999996,-5.216059286574539,71.0,-5.565815260929043,82.6,-5.925730892781466,90.5,-6.29464469717187,94.6,-6.669352088089459,97.5,-7.0514815391024,98.7,-7.437868137329092,99.4,-7.827998870579179,99.8,-8.219954925305935,99.9,-8.610373971290832,100.0
5th Worst,-4.470173003867431,-2.496556648152764,2.7,-2.5287391096994725,2.4,-2.6201038152842258,2.5,-2.765434941875989,3.3000000000000003,-2.9562653539437362,5.2,-3.17995824615306,7.199999999999999,-3.4236259473267956,11.600000000000001,-3.695301139323501,17.7,-3.989468531705422,28.499999999999996,-4.29665482932319,42.3,-4.618614852042548,53.300000000000004,-4.94623420615376,67.80000000000001,-5.2860492111310355,79.10000000000001,-5.63535972027005,87.4,-5.986566469511927,93.4,-6.34077297534581,96.39999999999999,-6.696696206169272,98.2,-7.0543154229425165,99.2,-7.4147770788319765,99.7,-7.779542913772576,99.9,-8.147674526284053,100.0
6th Worst,-4.3556608801098635,-2.3850590462537298,1.7999999999999998,-2.4163699536525223,1.9,-2.507995355712744,2.3,-2.643450870646258,3.3000000000000003,-2.8207239651572626,4.9,-3.0320893552372308,7.199999999999999,-3.2669752602848043,10.0,-3.528523959178105,16.400000000000002,-3.8092683297547634,25.900000000000002,-4.1065131835972775,38.4,-4.410091788952994,50.3,-4.730241378221538,65.0,-5.05692786727587,76.1,-5.384087788817297,84.3,-5.7176038162132645,91.3,-6.057597942885057,95.3,-6.399712057179535,97.8,-6.744952795870383,98.9,-7.091674387699311,99.5,-7.440434904784658,99.9,-7.791359769476707,100.0
7th Worst,-4.112236106302365,-2.2839327184211786,2.5,-2.318994231446853,2.8000000000000003,-2.4027469502217986,3.2,-2.538512421962573,4.3,-2.7140393909209735,6.2,-2.910026477175953,8.5,-3.1414755842099105,12.4,-3.39328910713969,20.0,-3.6596639665853616,29.299999999999997,-3.9460983179231808,41.9,-4.240079648633376,54.300000000000004,-4.5424174452045225,67.5,-4.849084576719927,77.7,-5.1627833401201295,85.6,-5.48239929174011,91.60000000000001,-5.807688065251709,95.5,-6.136943829705186,97.8,-6.46805660004656,99.2,-6.803112466266966,99.9,-7.1385497426755755,99.9,-7.473457158549713,100.0
8th Worst,-3.900353841263185,-2.197970498548602,3.1,-2.2340531494532203,3.5000000000000004,-2.312946167001059,4.2,-2.4470061724830785,5.6000000000000005,-2.6089354097262967,7.000000000000001,-2.8025476631859636,10.299999999999999,-3.0202495922899626,14.299999999999999,-3.264338852651263,21.9,-3.52772129035675,32.6,-3.795531185332201,43.7,-4.075927198943007,55.60000000000001,-4.368231651901475,68.60000000000001,-4.668949390406631,78.60000000000001,-4.972768381868614,86.8,-5.281669534716235,92.0,-5.5948343406774255,95.7,-5.911756997722688,97.89999999999999,-6.234562037758907,99.2,-6.556556987082446,99.7,-6.881344238646005,99.9,-7.206856602300903,100.0
9th Worst,-3.789672962921156,-2.128271258668753,3.6999999999999997,-2.1568909737892956,3.8,-2.238374914615464,4.3,-2.3621707282945263,5.5,-2.518837339993423,7.6,-2.7051028510623394,10.299999999999999,-2.9194319304615437,14.7,-3.1536522891500938,22.2,-3.4043390776019584,31.6,-3.6622764434884862,42.8,-3.9368682192093085,55.2,-4.222181750330881,67.5,-4.511647044117191,77.60000000000001,-4.810032487450488,86.2,-5.112385921033152,91.0,-5.41350344435658,95.39999999999999,-5.71679741883187,97.8,-6.021023050915139,99.0,-6.327695843917578,99.5,-6.637163435236971,99.8,-6.953082592155246,100.0
10th Worst,-3.5775452848355687,-2.068008780542098,4.6,-2.0899407871271527,5.1,-2.167780840413881,5.7,-2.286671032887756,7.3999999999999995,-2.4372612360124686,9.6,-2.621219009707323,12.5,-2.8285578013792114,18.5,-3.0559311504427304,25.8,-3.2945235523858956,35.099999999999994,-3.54871256373097,47.3,-3.8133747322356784,58.699999999999996,-4.084339017618835,70.89999999999999,-4.36785894510634,80.30000000000001,-4.655643213614187,88.0,-4.94721713716561,92.5,-5.238737233153644,96.2,-5.534200088437921,97.5,-5.831051323284416,98.9,-6.1328492806122945,99.6,-6.435075244208816,99.7,-6.736415549467325,99.9
