,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.05),%<Act (0.05),Sim Avg (0.10),%<Act (0.10),Sim Avg (0.15),%<Act (0.15),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.35),%<Act (0.35),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.45),%<Act (0.45),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.55),%<Act (0.55),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.65),%<Act (0.65),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.75),%<Act (0.75),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.85),%<Act (0.85),Sim Avg (0.90),%<Act (0.90),Sim Avg (0.95),%<Act (0.95),Sim Avg (1.00),%<Act (1.00)
Worst,-0.30530479286160517,-0.3901640881029519,67.9,-0.39616376670975256,69.19999999999999,-0.4104212165865121,73.5,-0.43141229126072855,78.60000000000001,-0.458499803418845,83.8,-0.4907031538662826,89.4,-0.5270644638794761,93.2,-0.5665784265525091,96.6,-0.608957419712885,98.2,-0.6536492123280309,99.0,-0.7000935907734306,99.4,-0.7480867999402453,99.6,-0.7973473599992508,99.8,-0.8475646594332558,99.9,-0.8986187615014187,99.9,-0.9503161725812933,100.0,-1.0028469329847087,100.0,-1.0558680901581312,100.0,-1.1093110875607104,100.0,-1.163177873116017,100.0,-1.2175637375887298,100.0
2nd,-0.3041755101718493,-0.299709895107587,43.3,-0.30641722721688436,46.400000000000006,-0.3182412416495077,50.1,-0.335819217814669,56.89999999999999,-0.3576529189817802,65.10000000000001,-0.3823381736323425,74.9,-0.40993102501439205,82.8,-0.4409205882287548,88.3,-0.47369159457164356,93.0,-0.5080929404106796,95.89999999999999,-0.5441594592199357,97.89999999999999,-0.5812815894834565,98.9,-0.6194429725961236,99.3,-0.6585034589026456,99.8,-0.6982235722531657,99.9,-0.7385984871583023,100.0,-0.7792177145241735,100.0,-0.8203288818207622,100.0,-0.8620766677346781,100.0,-0.9040752346769898,100.0,-0.9460953112466705,100.0
3rd,-0.2866048931040155,-0.26206252761206633,35.3,-0.26777744575762313,36.9,-0.2781791946335725,41.199999999999996,-0.2920996812125757,46.9,-0.3107151935496087,55.1,-0.33351353716276627,65.4,-0.35891365915284273,75.2,-0.38543846988500363,83.5,-0.41408112609895775,90.3,-0.44389385497977485,95.0,-0.4750894750240393,97.6,-0.5069384760833183,98.8,-0.5393065969651196,99.2,-0.5725832359820519,99.8,-0.6064788155369107,99.9,-0.6411528643942271,100.0,-0.6764176403469451,100.0,-0.7120169904126588,100.0,-0.7477910259140892,100.0,-0.7840181773104895,100.0,-0.8203645815142943,100.0
4th,-0.27341793697538735,-0.2404744230606185,30.7,-0.24324888997107583,31.6,-0.2521791868348199,35.099999999999994,-0.2655380563507192,40.8,-0.2821580399486768,48.0,-0.30109217967829255,56.3,-0.3234813953115254,67.7,-0.34757439308616955,77.60000000000001,-0.37301213645806525,85.6,-0.4002507991076214,92.80000000000001,-0.4283952440212556,96.1,-0.4578601147651992,98.2,-0.4883999342204114,99.0,-0.519017785881858,99.4,-0.5503682034029096,99.9,-0.5822553367457951,99.9,-0.6142076130435649,100.0,-0.6463323618671437,100.0,-0.6789408779905532,100.0,-0.7116739744516409,100.0,-0.7448312312254896,100.0
5th,-0.2603190483722785,-0.22643382081274513,30.0,-0.2279322314531487,30.3,-0.23428759986564274,33.1,-0.24514480211728887,37.1,-0.2589608247270139,43.2,-0.2775941936130098,53.300000000000004,-0.2980606695533913,65.3,-0.3201352258814495,74.7,-0.3440035406611889,83.3,-0.36922852785429217,90.10000000000001,-0.39529718660725005,95.0,-0.42254546894944633,97.6,-0.4502509485983572,98.9,-0.4786389723054248,99.5,-0.5073270990270824,99.9,-0.5362825557465346,99.9,-0.5659716724887202,100.0,-0.5960052790084048,100.0,-0.6259513833785688,100.0,-0.6562487684482453,100.0,-0.6866951907895736,100.0
6th,-0.2431416439346914,-0.2089976029370646,30.7,-0.21136797165509028,31.3,-0.21777212697252946,33.6,-0.22801584266573088,37.0,-0.24189080573798288,43.2,-0.25856343923679515,53.1,-0.27787517372006276,64.8,-0.2990380316623773,74.8,-0.321611251941917,84.1,-0.34492916945011887,89.7,-0.36974922639282604,94.1,-0.3951496674172363,97.0,-0.42142049314474084,98.7,-0.44822117790748617,99.4,-0.4752696024724135,99.8,-0.5022426170348676,99.8,-0.529459432013947,100.0,-0.5573107818941143,100.0,-0.5855393970409967,100.0,-0.6139101950492905,100.0,-0.6426197898843565,100.0
7th,-0.2315213317599298,-0.19545580912959087,28.999999999999996,-0.1978601933664317,29.2,-0.2042880308091573,31.8,-0.21400131910102418,35.5,-0.22759285392704198,43.5,-0.24341297417921706,52.0,-0.26134461265332276,62.1,-0.28163078811024034,74.2,-0.3032546593930259,82.1,-0.32594138472262235,89.4,-0.34888692305736585,94.3,-0.37278652247307514,96.89999999999999,-0.3969684470042415,98.3,-0.42179933770117917,99.1,-0.44724528611872383,99.5,-0.4730932970488486,99.8,-0.4992351417892436,100.0,-0.5255061957902472,100.0,-0.5519615292888964,100.0,-0.5785838819767821,100.0,-0.6052112329503758,100.0
8th,-0.2254278739458438,-0.1849529261344568,26.900000000000002,-0.1873248419928303,27.500000000000004,-0.19308737688235905,30.5,-0.20254114765256873,33.4,-0.2152970235786196,40.300000000000004,-0.2306439517168886,48.9,-0.24836385896834548,59.699999999999996,-0.26747120769003047,71.2,-0.2878564851145808,79.80000000000001,-0.3084550373148377,86.5,-0.33051752905602616,92.30000000000001,-0.35346326008285084,95.7,-0.37705631156574715,97.8,-0.40093315491548354,98.8,-0.4253876329976897,99.4,-0.45019920907053357,99.7,-0.47544847269448104,99.8,-0.5005847507269008,100.0,-0.5259285142142394,100.0,-0.5512450360770029,100.0,-0.5767763005704724,100.0
9th,-0.22300350127897337,-0.17628508748062646,23.9,-0.17801318346236508,24.7,-0.18373741701323112,26.900000000000002,-0.19322925257657153,31.1,-0.20569691792756048,36.7,-0.22002776882059435,45.0,-0.23657159814472692,54.800000000000004,-0.25484056531346766,66.3,-0.27409900574072277,75.7,-0.2944971176775768,83.3,-0.3154812381379977,89.8,-0.33681385950023207,94.39999999999999,-0.35868602890221074,96.89999999999999,-0.3815962636523837,98.2,-0.4050859852723921,99.2,-0.4286801645598198,99.6,-0.45225859819470793,99.8,-0.47633870687833724,99.9,-0.5004302105935368,99.9,-0.5247322441134251,100.0,-0.5492397234625732,100.0
10th,-0.22295695311131847,-0.16839140492115717,21.4,-0.17003020154552345,21.9,-0.17571326609614232,23.1,-0.18514662683564825,27.1,-0.19676537168758534,33.4,-0.2106143913897329,39.800000000000004,-0.22649596452163206,48.4,-0.24391177850364204,59.5,-0.261931166750897,71.0,-0.28153788988388306,78.8,-0.3018433796661493,86.8,-0.32284041300583954,91.8,-0.344384998543215,95.5,-0.3663220368613097,97.6,-0.388618892965818,98.7,-0.41138067121265814,99.4,-0.43427069013214437,99.8,-0.4573031792395975,99.9,-0.4806304675612388,99.9,-0.5042227740166353,100.0,-0.5279309237774952,100.0
